### HEAD
[2026-09-17 14:55:37] dopfn-repro variant=joint_2d steps=150000
  REPO=/scratch/furkanbd/rpfn_bench_kit/R-PFN
  DOPFN_SRC=/scratch/furkanbd/rpfn_bench_kit/external/dopfn
  OUT=/scratch/furkanbd/rpfn_bench_kit/checkpoints_dopfn_repro/joint_2d
NVIDIA H100 80GB HBM3, 81559 MiB
  no latest.pt -> fresh start
variant=joint_2d  n_out=113  params=7,346,417  device=cuda
  backbone sha256 1f119e9c1d6297db
fitting target support from 100 prior batches ...
  2-D grid: 10x10 uniform over [-2.486, 3.731], bin width 0.6218, 2.00% of mass in the tail regions
    step        loss         lr   s/step  skipped
--------------------------------------------------
Using CUDA, but Triton is not available. Falling back to PyTorch, this will be slower. Install Triton to enable faster training.
      50      3.0307  2.308e-07    0.223        0
     100      2.9818  4.571e-07    0.112        0
     150      2.8895  6.833e-07    0.102        0
     200      2.7645  9.096e-07    0.103        0
     250      2.7021  1.136e-06    0.109        0
     300      2.3693  1.362e-06    0.101        0
     350      2.2377  1.588e-06    0.099        0
     400      2.0753  1.815e-06    0.100        0
     450      2.0081  2.041e-06    0.103        0
     500      1.8880  2.267e-06    0.099        0
     550      2.8333  2.494e-06    0.110        0
     600      1.8544  2.720e-06    0.103        0
     650      1.8567  2.946e-06    0.116        0
     700      1.7272  3.172e-06    0.105        0
     750      1.7616  3.399e-06    0.102        0
     800      1.7718  3.625e-06    0.104        0
     850      1.6449  3.851e-06    0.101        0
     900      1.6437  4.077e-06    0.107        0
     950      1.6864  4.304e-06    0.104        0
    1000      1.7029  4.530e-06    0.105        0
    1050   1088.2418  4.756e-06    0.100        0
    1100      1.5039  4.983e-06    0.102        0
### STEPS
     100      2.9818  4.571e-07    0.112        0
   25100      0.4249  8.436e-05    0.100        1
   50100      0.3516  7.346e-05    0.107        1
   75100      0.3322  5.177e-05    0.102        3
  100100      0.2756  2.683e-05    0.103        3
  125100      0.1195  7.317e-06    0.106        3
### TAIL
  149150      0.5076  8.843e-09    0.107        3
  149200      0.2057  7.837e-09    0.103        3
  149250      0.2764  6.891e-09    0.101        3
  149300      0.3233  6.006e-09    0.100        3
  149350      0.3655  5.182e-09    0.098        3
  149400      0.2382  4.419e-09    0.098        3
  149450      0.1817  3.717e-09    0.099        3
  149500      0.2099  3.075e-09    0.103        3
  149550      0.4031  2.494e-09    0.110        3
  149600      0.2736  1.974e-09    0.103        3
  149650      0.1827  1.514e-09    0.104        3
  149700      0.3153  1.116e-09    0.101        3
  149750      0.2923  7.779e-10    0.106        3
  149800      0.2484  5.008e-10    0.097        3
  149850      0.2169  2.845e-10    0.098        3
  149900      0.2722  1.289e-10    0.103        3
  149950      0.2201  3.414e-11    0.105        3
  150000      0.2883  1.094e-13    0.102        3
done at step 150000; 3 batches skipped. -> /scratch/furkanbd/rpfn_bench_kit/checkpoints_dopfn_repro/joint_2d
[2026-09-17 19:13:43] DONE
